name,color
Adams,#ccc
Alamosa,#ccc
Arapahoe,#ccc
Archuleta,#ccc
Baca,#ccc
Bent,#ccc
Boulder,#ccc
Broomfield,#ccc
Chaffee,#ccc
Cheyenne,#ccc
Clear Creek,#ccc
Conejos,#ccc
Costilla,#ccc
Crowley,#ccc
Custer,#ccc
Delta,#ccc
Denver,#ccc
Dolores,#ccc
Douglas,#ccc
Eagle,#ccc
Elbert,#ccc
El Paso,#ccc
Fremont,#ccc
Garfield,#ccc
Gilpin,#ccc
Grand,#ccc
Gunnison,#ccc
Hinsdale,#ccc
Huerfano,#ccc
Jackson,#ccc
Jefferson,#ccc
Kiowa,#ccc
Kit Carson,#ccc
Lake,#ccc
La Plata,#ccc
Larimer,#ccc
Las Animas,#ccc
Lincoln,#ccc
Logan,#ccc
Mesa,#ccc
Mineral,#ccc
Moffat,#ccc
Montezuma,#ccc
Montrose,#ccc
Morgan,#ccc
Otero,#ccc
Ouray,#ccc
Park,#ccc
Phillips,#ccc
Pitkin,#ccc
Prowers,#ccc
Pueblo,#ccc
Rio Blanco,#ccc
Rio Grande,#ccc
Routt,#ccc
Saguache,#ccc
San Juan,#ccc
San Miguel,#ccc
Sedgwick,#ccc
Summit,#ccc
Teller,#ccc
Washington,#ccc
Weld,#ccc
Yuma,#ccc
