name,color
Adams,#393b79
Alamosa,#5254a3
Arapahoe,#6b6ecf
Archuleta,#9c9ede
Baca,#637939
Bent,#8ca252
Boulder,#b5cf6b
Broomfield,#cedb9c
Chaffee,#8c6d31
Cheyenne,#bd9e39
Clear Creek,#e7ba52
Conejos,#e7cb94
Costilla,#843c39
Crowley,#ad494a
Custer,#d6616b
Delta,#e7969c
Denver,#7b4173
Dolores,#a55194
Douglas,#ce6dbd
Eagle,#de9ed6
Elbert,#3182bd
El Paso,#6baed6
Fremont,#9ecae1
Garfield,#c6dbef
Gilpin,#e6550d
Grand,#fd8d3c
Gunnison,#fdae6b
Hinsdale,#fdd0a2
Huerfano,#31a354
Jackson,#74c476
Jefferson,#a1d99b
Kiowa,#c7e9c0
Kit Carson,#756bb1
Lake,#9e9ac8
La Plata,#bcbddc
Larimer,#dadaeb
Las Animas,#636363
Lincoln,#969696
Logan,#bdbdbd
Mesa,#d9d9d9
Mineral,#1f77b4
Moffat,#aec7e8
Montezuma,#ff7f0e
Montrose,#ffbb78
Morgan,#2ca02c
Otero,#98df8a
Ouray,#d62728
Park,#ff9896
Phillips,#9467bd
Pitkin,#c5b0d5
Prowers,#8c564b
Pueblo,#c49c94
Rio Blanco,#e377c2
Rio Grande,#f7b6d2
Routt,#7f7f7f
Saguache,#bcbd22
San Juan,#dbdb8d
San Miguel,#17becf
Sedgwick,#9edae5
Summit,#393b79
Teller,#5254a3
Washington,#6b6ecf
Weld,#9c9ede
Yuma,#637939
