abv,name,color
AL,Alabama,#92c5de
AK,Alaska,#b2182b
AZ,Arizona,#d6604d
AR,Arkansas,#92c5de
CA,California,#b2182b
CO,Colorado,#f4a582
CT,Connecticut,#2166ac
DE,Delaware,#4393c3
DC,District of Columbia,#4393c3
FL,Florida,#92c5de
GA,Georgia,#92c5de
HI,Hawaii,#b2182b
ID,Idaho,#f4a582
IL,Illinois,#d1e5f0
IN,Indiana,#fddbc7
IA,Iowa,#fddbc7
KS,Kansas,#fddbc7
KY,Kentucky,#92c5de
LA,Louisiana,#92c5de
ME,Maine,#2166ac
MD,Maryland,#4393c3
MA,Massachusetts,#2166ac
MI,Michigan,#d1e5f0
MN,Minnesota,#fddbc7
MS,Mississippi,#92c5de
MO,Missouri,#fddbc7
MT,Montana,#f4a582
NE,Nebraska,#fddbc7
NV,Nevada,#b2182b
NH,New Hampshire,#2166ac
NJ,New Jersey,#4393c3
NM,New Mexico,#d6604d
NY,New York,#4393c3
NC,North Carolina,#92c5de
ND,North Dakota,#fddbc7
OH,Ohio,#d1e5f0
OK,Oklahoma,#d6604d
OR,Oregon,#b2182b
PA,Pennsylvania,#4393c3
RI,Rhode Island,#2166ac
SC,South Carolina,#92c5de
SD,South Dakota,#fddbc7
TN,Tennessee,#92c5de
TX,Texas,#d6604d
UT,Utah,#f4a582
VT,Vermont,#2166ac
VA,Virginia,#92c5de
WA,Washington,#b2182b
WV,West Virginia,#92c5de
WI,Wisconsin,#d1e5f0
WY,Wyoming,#f4a582
